"title";"description";"year";"director";"country";"image_url";"genres"
"Clash of the Titans";"Born of a god but raised as a man, Perseus is helpless to save his family from Hades, vengeful god of the underworld. With nothing to lose, Perseus volunteers to lead a dangerous mission to defeat Hades before he can seize power from Zeus and unleash hell on earth. Battling unholy demons and fearsome beasts, Perseus and his warriors will only survive if Perseus accepts his power as a god, defies fate and creates his own destiny.";"2010";"Louis Leterrier";"США";"http://example.com/image.jpg";"Adventure,Fantasy,Action"
"Total Recall";"Construction worker Douglas Quaid discovers a memory chip in his brain during a virtual-reality trip. He also finds that his past has been invented to conceal a plot of planetary domination. Soon, he's off to Mars to find out who he is and who planted the chip.";"1990";"Paul Verhoeven";"США";"http://example.com/image.jpg";"Action,Adventure,Science fiction"
"The 13th Warrior";"In AD 922, Arab courtier, Ahmad Ibn Fadlan accompanies a party of Vikings to the barbaric North to combat a terror that slaughters Vikings and devours their flesh.";"1999";"John McTiernan";"США";"http://example.com/image.jpg";"Adventure,Fantasy,Action"
"The Bourne Legacy";"New CIA operative, Aaron Cross experiences life-or-death stakes that have been triggered by the previous actions of Jason Bourne.";"2012";"Tony Gilroy";"США";"http://example.com/image.jpg";"Action,Thriller"
"Batman & Robin";"Along with crime-fighting partner Robin and new recruit Batgirl, Batman battles the dual threat of frosty genius Mr. Freeze and homicidal horticulturalist Poison Ivy. Freeze plans to put Gotham City on ice, while Ivy tries to drive a wedge between the dynamic duo.";"1997";"Joel Schumacher";"Великобритания";"http://example.com/image.jpg";"Action,Crime,Fantasy"
"How the Grinch Stole Christmas";"Inside a snowflake exists the magical land of Whoville. In Whoville, live the Whos, an almost mutated sort of Munchkin-like people. All the Whos love Christmas, yet just outside of their beloved Whoville lives the Grinch. The Grinch is a nasty creature that hates Christmas, and plots to steal it away from the Whos, whom he equally abhors. Yet a small child, Cindy Lou Who, decides to try befriending the Grinch.";"2000";"Ron Howard";"Germany";"http://example.com/image.jpg";"Family,Comedy,Fantasy"
"The Day After Tomorrow";"After years of increases in the greenhouse effect,  havoc is wreaked globally in the form of catastrophic hurricanes, tornadoes, tidal waves, floods and the beginning of a new Ice Age. Paleoclimatologist, Jack Hall tries to warn the world while also shepherding to safety his son, trapped in New York after the city is overwhelmed by the start of the new big freeze.";"2004";"Roland Emmerich";"США";"http://example.com/image.jpg";"Action,Adventure,Science fiction,Thriller"
"Mission: Impossible II";"With computer genius Luther Stickell at his side and a beautiful thief on his mind, agent Ethan Hunt races across Australia and Spain to stop a former IMF agent from unleashing a genetically engineered biological weapon called Chimera. This mission, should Hunt choose to accept it, plunges him into the center of an international crisis of terrifying magnitude.";"2000";"John Woo";"Germany";"http://example.com/image.jpg";"Adventure,Action,Thriller"
"The Perfect Storm";"In October 1991, a confluence of weather conditions combined to form a killer storm in the North Atlantic. Caught in the storm was the sword-fishing boat Andrea Gail. Magnificent foreshadowing and anticipation fill this true-life drama while minute details of the fishing boats, their gear and the weather are juxtaposed with the sea adventure.";"2000";"Wolfgang Petersen";"США";"http://example.com/image.jpg";"Drama"
"Fantastic 4: Rise of the Silver Surfer";"The Fantastic Four return to the big screen as a new and all powerful enemy threatens the Earth. The seemingly unstoppable 'Silver Surfer', but all is not what it seems and there are old and new enemies that pose a greater threat than the intrepid superheroes realize.";"2007";"Tim Story";"Germany";"http://example.com/image.jpg";"Adventure,Fantasy,Action,Thriller"
"Life of Pi";"The story of an Indian boy named Pi, a zookeeper's son who finds himself in the company of a hyena, zebra, orangutan, and a Bengal tiger after a shipwreck sets them adrift in the Pacific Ocean.";"2012";"Ang Lee";"США";"http://example.com/image.jpg";"Adventure,Drama,Action"
"Ghost Rider";"In order to save his dying father, young stunt cyclist, Johnny Blaze sells his soul to Mephistopheles and sadly parts from the pure-hearted, Roxanne Simpson, the love of his life. Years later, Johnny's path crosses again with Roxanne, now a go-getting reporter, and also with Mephistopheles, who offers to release Johnny's soul if Johnny becomes the fabled, fiery 'Ghost Rider'.";"2007";"Mark Steven Johnson";"США";"http://example.com/image.jpg";"Thriller,Action,Fantasy,Horror"
"Jason Bourne";"The most dangerous former operative of the CIA is drawn out of hiding to uncover hidden truths about his past.";"2016";"Paul Greengrass";"Великобритания";"http://example.com/image.jpg";"Action,Thriller"
"Charlie's Angels: Full Throttle";"The Angels are charged with finding a pair of missing rings that are encoded with the personal information of members of the Witness Protection Program. As informants are killed, the ladies target a rogue agent who might be responsible.";"2003";"McG";"США";"http://example.com/image.jpg";"Action,Adventure,Comedy"
"Prometheus";"A team of explorers discover a clue to the origins of mankind on Earth, leading them on a journey to the darkest corners of the universe. There, they must fight a terrifying battle to save the future of the human race.";"2012";"Ridley Scott";"Великобритания";"http://example.com/image.jpg";"Science fiction,Adventure,Mystery"
"Stuart Little 2";"Stuart, an adorable white mouse, still lives happily with his adoptive family, the Littles, on the east side of Manhattan's Central Park. More crazy mouse adventures are in store as Stuart, his human brother, George, and their mischievous cat, Snowbell, set out to rescue a friend.";"2002";"Rob Minkoff";"США";"http://example.com/image.jpg";"Family,Adventure,Animation,Comedy"
"Elysium";"In the year 2159, two classes of people exist: the very wealthy who live on a pristine man-made space station called Elysium, and the rest, who live on an overpopulated, ruined Earth. Secretary Rhodes (Jodie Foster), a hard line government ofﬁcial, will stop at nothing to enforce anti-immigration laws and preserve the luxurious lifestyle of the citizens of Elysium. That doesn’t stop the people of Earth from trying to get in, by any means they can. When unlucky Max (Matt Damon) is backed into a corner, he agrees to take on a daunting mission that, if successful, will not only save his life, but could bring equality to these polarized worlds.";"2013";"Neill Blomkamp";"США";"http://example.com/image.jpg";"Science fiction,Action,Drama,Thriller"
"The Chronicles of Riddick";"After years of outrunning ruthless bounty hunters, escaped convict Riddick suddenly finds himself caught between opposing forces in a fight for the future of the human race. Now, waging incredible battles on fantastic and deadly worlds, this lone, reluctant hero will emerge as humanity's champion - and the last hope for a universe on the edge of annihilation.";"2004";"David Twohy";"США";"http://example.com/image.jpg";"Action,Science fiction"
"RoboCop";"In RoboCop, the year is 2028 and multinational conglomerate OmniCorp is at the center of robot technology.  Overseas, their drones have been used by the military for years, but have been forbidden for law enforcement in America.  Now OmniCorp wants to bring their controversial technology to the home front, and they see a golden opportunity to do it.  When Alex Murphy – a loving husband, father and good cop doing his best to stem the tide of crime and corruption in Detroit – is critically injured, OmniCorp sees their chance to build a part-man, part-robot police officer.  OmniCorp envisions a RoboCop in every city and even more billions for their shareholders, but they never counted on one thing: there is still a man inside the machine.";"2014";"Jos\u00e9 Padilha";"Canada";"http://example.com/image.jpg";"Action,Science fiction"
"Speed Racer";"Speed Racer is the tale of a young and brilliant racing driver. When corruption in the racing leagues costs his brother his life, he must team up with the police and the mysterious Racer X to bring an end to the corruption and criminal activities. Inspired by the cartoon series.";"2008";"Lilly Wachowski";"Australia";"http://example.com/image.jpg";"Action,Family,Science fiction"
"How Do You Know";"After being cut from the USA softball team and feeling a bit past her prime, Lisa finds herself evaluating her life and in the middle of a love triangle, as a corporate guy in crisis competes with her current, baseball-playing beau.";"2010";"James L. Brooks";"США";"http://example.com/image.jpg";"Comedy,Drama,Romance"
"Knight and Day";"A fugitive couple goes on a glamorous and sometimes deadly adventure where nothing and no one – even themselves – are what they seem. Amid shifting alliances and unexpected betrayals, they race across the globe, with their survival ultimately hinging on the battle of truth vs. trust.";"2010";"James Mangold";"США";"http://example.com/image.jpg";"Action,Comedy"
"Oblivion";"Jack Harper is one of the last few drone repairmen stationed on Earth.  Part of a massive operation to extract vital resources after decades of war with a terrifying threat known as the Scavs, Jack’s mission is nearly complete.  His existence is brought crashing down when he rescues a beautiful  stranger from a downed spacecraft.  Her arrival triggers a chain of events that  forces him to question everything he knows and puts the fate of humanity in his hands.";"2013";"Joseph Kosinski";"США";"http://example.com/image.jpg";"Action,Science fiction,Adventure,Mystery"
